"","continuous","LB-SPR","continuous","LB-SPR","continuous","LB-SPR"
"LC10",0.723585167479495,0.36549935262652,0.0365694557544503,-0.102021481160648,0.0651016995308335,-0.105771114269074
"LC1",0.547133248809101,0.36549935262652,-0.102978771594493,-0.102021481160648,0.0992409002129316,-0.105412079592295
"LBSPR10",0.14192960410504,-0.0324990739072633,0.0862204021902735,-0.0112938689815108,0.117063802730105,-0.0072468857356194
"LBSPR1",0.124956499568915,-0.0324990739072633,0.055652981015867,-0.0112938689815108,0.114211638185946,-0.0072468857356194
"LC10",0.723585167479495,0.36549935262652,0.27447276672993,0.105440251446342,0.372209394529349,0.105771114269074
"LC1",0.547133248809101,0.36549935262652,0.215158575404382,0.105440251446342,0.374416211928015,0.105412079592295
"LBSPR10",0.14192960410504,0.0591095716828295,0.0925820335564455,0.0614080121418476,0.117063802730105,0.0696977535048706
"LBSPR1",0.158777312214796,0.0591095716828295,0.138527549808068,0.0614080121418476,0.160617077042106,0.0696977535048706
